CPU,Processors (CPU) for computers,8542.31.00,US
SSD-SFF,Solid state drives (SSD) for computers,8523.51.00,US
Memory,Memory modules for computers,8473.30.11,US
Adapter,networking adapters for computers,8517.62.00,US
HDD-LFF,hard disk drives for computers,8471.70.40,US
HDD-SFF,hard disk drives for computers,8471.70.40,US
Cable Kit,cable for computers,8544.42.20,US
Controller,storage controller card for computers,8473.30.11,US
SSD-LFF,Solid state drives (SSD) for computers,8523.51.00,US
Riser Kit,networking adapters for computers,8517.62.00,US
Enablement Kit,power supply module for computers,8504.40.60,US
Power Supply,power supply module for computers,8504.40.60,US
Cage Kit,networking adapters for computers,8517.62.00,US
HDD-SCSI,hard disk drives for computers,8471.70.40,US
Fan Kit,internal fans for computers,8414.59.15,US
Rail Kit,rack mounting hardware for computers,8473.30.51,US
SSD-M2,Solid state drives (SSD) for computers,8523.51.00,US
Internal Tape Drive,Tape storage drives for computers,8471.70.60,US
Heat Sink Kit,CPU Heatsink for computers,8473.30.51,US
Optical Drive,Optical drive for computers,8471.70.90,US
External Tape Drive,Tape storage drives for computers,8471.70.60,US
Smart Storage Battery,cable for computers,8544.42.20,US
Backplane Kit,storage controller card for computers,8473.30.11,US
Internal Disk Backup,storage device for computers,8473.30.11,US
Enclosure,storage device for computers,8473.30.11,US
External Disk Backup,storage device for computers,8473.30.11,US
Tape Autoloader,Tape storage device for computers,8471.70.60,US
Tape Library,Tape storage device for computers,8471.70.60,US
HHHL Card,storage device for computers,8473.30.11,US
Media Bay Kit,storage controller card for computers,8473.30.11,US
SSD-EDSFF,Solid state drives (SSD) for computers,8523.51.00,US
